Num	Type	Reaction Num.
207	R	140
208	R	141
209	R	142
210	R	143
211	R	145
212	R	146
213	R	147
214	R	148
215	R	149
216	R	150
217	R	152
218	R	153
219	R	154
220	R	155
221	R	156
222	R	157
223	R	159
224	R	160
225	R	161
226	R	162
227	R	163
228	R	164
229	R	165
230	R	166
231	R	167
232	R	168
233	R	169
234	R	171
235	R	172
236	R	173
237	R	174
238	R	175
239	R	176
240	R	177
241	R	178
242	R	179
243	R	180
244	R	181
245	R	182
246	R	183
247	R	186
248	R	187
249	R	188
250	R	189
251	R	190
252	R	192
253	R	193
254	R	195
255	R	196
256	R	197
257	R	198
258	R	199
259	R	200
260	R	201
261	R	202
262	R	203
263	R	204
264	R	205
265	R	206
266	R	207
267	R	209
268	R	212
269	R	213
270	R	214
271	R	215
272	R	216
273	R	217
274	R	218
275	R	219
276	R	220
277	R	221
278	R	222
279	R	223
280	R	224
281	R	225
282	R	226
283	R	227
284	R	228
285	R	229
286	R	230
287	R	231
288	R	232
289	R	233
290	R	235
291	R	236
292	R	237
293	R	238
294	R	239
295	R	242
296	R	243
297	R	244
298	R	245
299	R	246
300	R	247
301	R	248
302	R	250
303	R	251
304	R	252
305	R	254
306	R	255
307	R	257
308	R	258
309	R	259
310	R	260
311	R	261
312	R	263
313	R	264
314	R	265
315	R	266
316	R	267
317	R	268
318	R	269
319	R	270
320	R	271
321	R	272
322	R	273
323	R	274
324	R	275
325	R	276
326	R	277
327	R	278
328	R	279
329	R	281
330	R	282
331	R	283
332	R	284
333	R	287
334	R	288
335	R	289
336	R	291
337	R	292
338	R	293
339	R	294
340	R	295
341	R	296
342	R	297
343	R	298
344	R	300
345	R	301
346	R	302
347	R	303
348	R	304
349	R	305
350	R	306
351	R	307
352	R	308
353	R	309
354	R	310
355	R	311
356	R	312
357	R	313
358	R	314
359	R	315
360	R	316
361	R	317
362	R	319
363	R	320
364	R	321
365	R	322
366	R	323
367	R	324
368	R	325
369	R	326
370	R	327
371	R	328
372	R	329
373	R	330
374	R	331
375	R	332
376	R	333
377	R	334
378	R	335
379	R	336
380	R	337
381	R	338
382	R	339
383	R	340
384	R	341
385	R	342
386	R	346
387	R	347
388	R	348
389	R	350
390	R	351
391	R	352
392	R	353
393	R	354
394	R	355
395	R	356
396	R	357
397	R	358
398	R	359
399	R	360
400	R	361
401	R	362
402	R	363
403	R	364
404	R	365
405	R	366
406	R	367
407	R	368
408	R	369
409	R	370
410	R	371
411	R	372
412	R	373
413	R	374
414	R	375
415	R	376
416	R	377
417	R	378
418	R	379
419	R	380
420	R	381
421	R	382
422	R	383
423	R	384
424	R	385
425	R	387
426	R	389
427	R	390
428	R	391
429	R	392
430	R	393
431	R	394
432	R	395
433	R	396
434	R	397
435	R	398
436	R	399
437	R	400
438	R	401
439	R	402
440	R	403
441	R	404
442	R	405
443	R	406
444	R	407
445	R	408
446	R	409
447	R	411
448	R	412
449	R	413
450	R	414
451	R	415
452	R	416
453	R	417
454	R	418
455	R	419
456	R	420
457	R	421
458	R	422
459	R	423
460	R	424
461	R	425
462	R	426
463	R	427
464	R	428
465	R	429
466	R	430
467	R	431
468	R	432
469	R	433
470	R	434
471	R	435
472	R	436
473	R	437
474	R	438
475	R	439
476	R	440
477	R	441
478	R	442
479	R	443
480	R	444
481	R	445
482	R	446
483	R	447
484	R	448
485	R	449
486	R	450
487	R	451
488	R	452
489	R	453
490	R	454
491	R	455
492	R	456
493	R	457
494	R	458
495	R	459
496	R	460
497	R	461
498	R	462
499	R	463
500	R	464
501	R	465
502	R	466
503	R	467
504	R	468
505	R	469
506	R	470
507	R	471
508	R	472
509	R	473
510	R	474
511	R	475
512	R	477
513	R	478
514	R	479
515	R	480
516	R	481
517	R	482
518	R	483
519	R	485
520	R	486
521	R	487
522	R	488
523	R	489
524	R	490
525	R	491
526	R	492
527	R	493
528	R	494
529	R	495
530	R	496
531	R	498
532	R	499
533	R	500
534	R	501
535	R	502
536	R	503
537	R	504
538	R	505
539	R	506
540	R	507
541	R	509
542	R	511
543	R	512
544	R	513
545	R	515
546	R	516
547	R	517
548	R	519
549	R	520
550	R	521
551	R	522
552	R	523
553	R	524
554	R	525
555	R	526
556	R	527
557	R	528
558	R	533
559	R	534
560	R	535
561	R	536
562	R	537
563	R	538
564	R	540
565	R	541
566	R	542
567	R	543
568	R	544
569	R	545
570	R	546
571	R	547
572	R	548
573	R	549
574	R	551
575	R	552
576	R	553
577	R	554
578	R	555
579	R	556
580	R	557
581	R	558
582	R	559
583	R	560
584	R	561
585	R	562
586	R	563
587	R	564
588	R	565
589	R	566
590	R	567
591	R	568
592	R	569
593	R	570
594	R	571
595	R	572
596	R	573
597	R	574
598	R	575
599	R	576
600	R	577
601	R	578
602	R	579
603	R	596
604	R	597
605	R	598
606	R	599
607	R	608
608	R	611
609	R	617
610	R	618
611	R	639
612	R	640
613	R	641
614	R	642
615	R	643
616	R	644
617	R	645
618	M	2
619	M	3
620	M	4
621	M	5
622	M	6
623	M	7
624	M	9
625	M	10
626	M	11
627	M	12
628	M	13
629	M	14
630	M	15
631	M	16
632	M	17
633	M	18
634	M	19
635	M	20
636	M	21
637	M	22
638	M	23
639	M	24
640	M	25
641	M	26
642	M	27
643	M	28
644	M	29
645	M	31
646	M	32
647	M	33
648	M	34
649	M	35
650	M	36
651	M	37
652	M	38
653	M	39
654	M	40
655	M	41
656	M	42
657	M	43
658	M	44
659	M	45
660	M	46
661	M	47
662	M	48
663	M	49
664	M	50
665	M	51
666	M	52
667	M	53
668	M	54
669	M	55
670	M	56
671	M	57
672	M	58
673	M	73
674	M	85
675	M	86
676	T	1
677	T	2
678	T	3
679	T	4
680	T	5
681	T	6
682	T	7
683	T	8
684	T	9
685	T	10
686	T	11
687	T	12
688	T	13
689	T	14
690	T	15
691	T	16
692	T	17
693	T	18
694	T	19
695	T	20
696	T	21
697	T	22
698	T	23
699	T	24
700	T	25
701	T	26
702	T	27
703	T	28
704	T	29
705	T	30
706	T	31
707	T	32
708	T	33
709	T	34
710	T	35
711	T	36
712	T	37
713	T	38
714	T	40
715	T	41
716	T	42
717	T	43
718	T	44
720	T	46
721	T	47
722	T	48
723	T	49
724	T	50
725	T	51
726	T	52
727	T	53
728	T	54
729	T	55
730	T	56
731	T	57
732	T	58
733	T	59
734	T	60
735	T	91
736	T	92
737	T	93
